# Traversio public API baseline
# Generated with: swift package dump-symbol-graph --minimum-access-level public --skip-synthesized-members
# Format: kind<TAB>path<TAB>precise-symbol-id<TAB>declaration
swift.struct	SFTPClient	s:9Traversio10SFTPClientV	struct SFTPClient
swift.method	SFTPClient.close()	s:9Traversio10SFTPClientV5closeyyYaKF	func close() async throws
swift.method	SFTPClient.createSymbolicLink(targetPath:linkPath:)	s:9Traversio10SFTPClientV18createSymbolicLink10targetPath04linkG0ySS_SStYaKF	func createSymbolicLink(targetPath: String, linkPath: String) async throws
swift.method	SFTPClient.currentVersionExchange()	s:9Traversio10SFTPClientV22currentVersionExchangeAA014SSHSFTPVersionE0VyYaKF	func currentVersionExchange() async throws -> SSHSFTPVersionExchange
swift.method	SFTPClient.downloadDirectory(_:to:chunkSize:maxConcurrentReads:progress:shouldContinue:)	s:9Traversio10SFTPClientV17downloadDirectory_2to9chunkSize18maxConcurrentReads8progress14shouldContinueAA31SSHSFTPDirectoryTransferSummaryVSS_10Foundation3URLVs6UInt32VSiyAA23SSHSFTPTransferProgressVYaYbcSgSbyYaYbcSgtYaKF	func downloadDirectory(_ remotePath: String, to localURL: URL, chunkSize: UInt32 = 32 * 1_024, maxConcurrentReads: Int = 64, progress: SSHSFTPTransferProgressHandler? = nil, shouldContinue: SSHSFTPTransferContinuationHandler? = nil) async throws -> SSHSFTPDirectoryTransferSummary
swift.method	SFTPClient.downloadFile(_:to:expectedSize:chunkSize:maxConcurrentReads:progress:shouldContinue:)	s:9Traversio10SFTPClientV12downloadFile_2to12expectedSize05chunkG018maxConcurrentReads8progress14shouldContinues6UInt64VSS_10Foundation3URLVALSgs6UInt32VSiyAA23SSHSFTPTransferProgressVYaYbcSgSbyYaYbcSgtYaKF	func downloadFile(_ remotePath: String, to localURL: URL, expectedSize: UInt64? = nil, chunkSize: UInt32 = 32 * 1_024, maxConcurrentReads: Int = 64, progress: SSHSFTPTransferProgressHandler? = nil, shouldContinue: SSHSFTPTransferContinuationHandler? = nil) async throws -> UInt64
swift.method	SFTPClient.fileSystemAttributes(_:)	s:9Traversio10SFTPClientV20fileSystemAttributesyAA011SSHSFTPFiledE0VSSYaKF	func fileSystemAttributes(_ path: String) async throws -> SSHSFTPFileSystemAttributes
swift.method	SFTPClient.listDirectory(_:)	s:9Traversio10SFTPClientV13listDirectoryySayAA16SSHSFTPNameEntryVGSSYaKF	func listDirectory(_ path: String) async throws -> [SSHSFTPNameEntry]
swift.method	SFTPClient.lstat(_:)	s:9Traversio10SFTPClientV5lstatyAA21SSHSFTPFileAttributesVSSYaKF	func lstat(_ path: String) async throws -> SSHSFTPFileAttributes
swift.method	SFTPClient.makeDirectory(_:attributes:)	s:9Traversio10SFTPClientV13makeDirectory_10attributesySS_AA21SSHSFTPFileAttributesVtYaKF	func makeDirectory(_ path: String, attributes: SSHSFTPFileAttributes = .empty) async throws
